Category: All categories

Month,Tesla Motors: (Worldwide)
2010-07,48
2010-08,33
2010-09,30
2010-10,29
2010-11,33
2010-12,26
2011-01,28
2011-02,29
2011-03,29
2011-04,33
2011-05,25
2011-06,29
2011-07,24
2011-08,26
2011-09,22
2011-10,34
2011-11,23
2011-12,20
2012-01,24
2012-02,36
2012-03,25
2012-04,30
2012-05,30
2012-06,33
2012-07,30
2012-08,26
2012-09,41
2012-10,32
2012-11,47
2012-12,37
2013-01,31
2013-02,41
2013-03,39
2013-04,48
2013-05,86
2013-06,57
2013-07,60
2013-08,97
2013-09,69
2013-10,75
2013-11,71
2013-12,60
2014-01,62
2014-02,78
2014-03,81
2014-04,69
2014-05,69
2014-06,66
2014-07,69
2014-08,65
2014-09,61
2014-10,82
2014-11,58
2014-12,53
2015-01,63
2015-02,62
2015-03,59
2015-04,65
2015-05,88
2015-06,61
2015-07,69
2015-08,76
2015-09,77
2015-10,71
2015-11,58
2015-12,57
2016-01,53
2016-02,58
2016-03,54
2016-04,100
2016-05,50
2016-06,42
2016-07,39
2016-08,34
2016-09,37
2016-10,38
2016-11,41
2016-12,38
2017-01,37
2017-02,35
2017-03,29
2017-04,39
2017-05,30
2017-06,27
2017-07,32
2017-08,32
2017-09,30
2017-10,32
2017-11,41
2017-12,25
2018-01,23
2018-02,23
2018-03,25
